{'track_id': '5083', 'skip_count': '9', 'skip_date': '2019-09-18T17:48:43Z', 'name': 'Scenario', 'artist': 'A Tribe Called Quest'}
{'track_id': '5765', 'skip_count': '2', 'skip_date': '2019-09-18T17:48:30Z', 'name': 'Floor 5-3: Tell It To My Cardiologist, Why Dontcha', 'artist': 'Craig Barnes'}
{'track_id': '5885', 'play_count': '3', 'play_date_utc': '2019-09-18T17:52:07Z', 'name': 'All My Heroes Are Cornballs', 'artist': 'JPEGMAFIA'}
{'track_id': '5907', 'play_count': '2', 'play_date_utc': '2019-09-19T06:31:59Z', 'name': 'Thot Tactics', 'artist': 'JPEGMAFIA'}
{'track_id': '3351', 'skip_count': '10', 'skip_date': '2019-09-19T06:35:45Z', 'name': 'Great Days', 'artist': 'JO☆UNITED'}
{'track_id': '5919', 'play_count': '3', 'play_date_utc': '2019-09-19T06:35:39Z', 'name': 'When the Fires Come', 'artist': 'Kero Kero Bonito'}
{'track_id': '5919', 'play_count': '4', 'play_date_utc': '2019-09-19T06:57:20Z', 'name': 'When the Fires Come', 'artist': 'Kero Kero Bonito'}
{'track_id': '5693', 'play_count': '5', 'play_date_utc': '2019-09-19T07:36:42Z', 'name': 'I Left My Wallet In El Segundo', 'artist': 'A Tribe Called Quest'}
{'track_id': '5489', 'play_count': '30', 'play_date_utc': '2019-09-19T07:38:49Z', 'name': 'Ipanema', 'artist': 'Still Woozy ft. Omar Apollo &#38; Elujay'}
{'track_id': '5261', 'play_count': '4', 'play_date_utc': '2019-09-19T07:41:13Z', 'name': "Wouldn't It Be Nice", 'artist': 'The Beach Boys'}
{'track_id': '3737', 'skip_count': '3', 'skip_date': '2019-09-19T10:30:28Z', 'name': 'New Donk City: Daytime', 'artist': 'Naoto Kubo, Shiho Fuiji, Koji Kondo'}
{'track_id': '5919', 'play_count': '5', 'play_date_utc': '2019-09-19T10:30:14Z', 'name': 'When the Fires Come', 'artist': 'Kero Kero Bonito'}
{'track_id': '5393', 'play_count': '2', 'play_date_utc': '2019-09-19T10:33:00Z', 'name': 'Youth Decay', 'artist': 'Sleater-Kinney'}
{'track_id': '5447', 'skip_count': '5', 'skip_date': '2019-09-19T11:00:21Z', 'name': 'Dilemma', 'artist': 'Death Grips'}
{'track_id': '4189', 'skip_count': '11', 'skip_date': '2019-09-19T11:00:26Z', 'name': 'One More Red Nightmare', 'artist': 'King Crimson'}
{'track_id': '5197', 'play_count': '5', 'play_date_utc': '2019-09-19T11:05:53Z', 'name': 'Dream', 'artist': 'clipping.'}
{'track_id': '4635', 'skip_count': '5', 'skip_date': '2019-09-19T11:25:05Z', 'name': 'Sleep Drifter', 'artist': 'King Gizzard &#38; The Lizard Wizard'}
{'track_id': '5785', 'play_count': '3', 'play_date_utc': '2019-09-19T11:29:14Z', 'name': 'Norman fucking Rockwell', 'artist': 'Lana Del Rey'}
{'track_id': '4367', 'play_count': '78', 'play_date_utc': '2019-09-19T11:31:11Z', 'name': 'BLACKJACK', 'artist': 'Aminé'}
{'track_id': '1103', 'skip_count': '24', 'skip_date': '2019-09-19T12:13:15Z', 'name': 'Wrong Enemy', 'artist': 'Toby Fox'}
{'track_id': '5683', 'play_count': '6', 'play_date_utc': '2019-09-19T13:39:03Z', 'name': 'Puff Daddy', 'artist': 'JPEGMAFIA &#38; Kenny Beats'}
{'track_id': '3005', 'skip_count': '18', 'skip_date': '2019-09-19T13:41:28Z', 'name': 'Gear Getaway', 'artist': 'Noriyuki Iwadare'}
{'track_id': '5675', 'skip_count': '2', 'skip_date': '2019-09-19T16:32:01Z', 'name': 'On GP', 'artist': 'Death Grips'}
{'track_id': '3945', 'play_count': '42', 'play_date_utc': '2019-09-19T16:41:12Z', 'name': 'Then', 'artist': 'Yes'}
{'track_id': '5069', 'play_count': '15', 'play_date_utc': '2019-09-19T16:45:47Z', 'name': 'Vibes and Stuff', 'artist': 'A Tribe Called Quest'}
{'track_id': '5327', 'skip_count': '4', 'skip_date': '2019-09-19T16:49:15Z', 'name': 'The Chase, Part II', 'artist': 'A Tribe Called Quest'}
